Date,Open,High,Low,Close,Adj Close,Volume
2018-05-18,58.000000,58.000000,56.509998,57.700001,56.596989,152000
2018-05-21,57.950001,58.799999,57.349998,58.500000,57.381691,154300
2018-05-22,58.549999,58.950001,56.549999,56.599998,55.518017,164900
2018-05-23,56.450001,56.500000,55.200001,55.599998,54.537128,144800
2018-05-24,55.750000,57.299999,55.650002,57.250000,56.155590,168000
2018-05-25,57.400002,58.669998,56.970001,58.349998,57.234562,231400
2018-05-29,58.049999,58.250000,57.099998,57.349998,56.253674,198200
2018-05-30,57.700001,58.099998,57.430000,57.849998,56.744118,165800
2018-05-31,57.900002,58.650002,56.849998,57.000000,55.910370,202000
2018-06-01,57.349998,57.549999,56.900002,57.150002,56.057503,165900
2018-06-04,57.250000,58.049999,57.250000,57.700001,56.596989,226600
2018-06-05,57.700001,58.000000,56.700001,57.700001,56.596989,122500
2018-06-06,57.700001,57.849998,56.959999,57.349998,56.253674,123800
2018-06-07,57.349998,57.610001,55.900002,56.049999,54.978531,254900
2018-06-08,55.900002,56.000000,54.200001,55.000000,53.948601,265100
2018-06-11,55.099998,56.849998,55.099998,56.750000,55.665146,171400
2018-06-12,56.700001,56.900002,55.049999,55.950001,54.880436,230400
2018-06-13,55.950001,56.200001,55.150002,55.250000,54.193825,118000
2018-06-14,55.500000,56.400002,55.400002,56.250000,55.174702,104700
2018-06-15,55.900002,57.200001,55.400002,57.200001,56.106548,306300
2018-06-18,56.900002,57.150002,55.900002,56.650002,55.567059,114300
2018-06-19,56.299999,56.849998,55.709999,56.650002,55.567059,134900
2018-06-20,56.750000,57.900002,56.310001,57.549999,56.449856,150900
2018-06-21,57.500000,57.500000,56.150002,56.349998,55.272793,185900
2018-06-22,56.450001,56.950001,55.049999,55.599998,54.537128,372100
2018-06-25,55.250000,55.450001,53.009998,53.849998,52.820580,254700
2018-06-26,53.650002,53.799999,52.549999,52.599998,51.594479,265200
2018-06-27,52.549999,54.500000,51.700001,51.750000,50.760731,177100
2018-06-28,51.599998,51.599998,50.349998,51.000000,50.121918,172600
2018-06-29,51.200001,52.599998,51.150002,51.900002,51.006420,234600
2018-07-02,51.549999,53.450001,51.310001,53.400002,52.480598,231100
2018-07-03,53.049999,53.299999,51.450001,51.650002,50.760735,136000
2018-07-05,51.950001,53.099998,51.500000,53.049999,52.136620,156300
2018-07-06,52.900002,53.880001,52.700001,53.750000,52.824570,178100
2018-07-09,53.900002,54.799999,53.799999,54.750000,53.807358,131700
2018-07-10,54.849998,54.950001,53.700001,54.349998,53.414246,179300
2018-07-11,54.150002,54.150002,52.849998,53.599998,52.677158,121400
2018-07-12,54.250000,54.750000,53.299999,53.799999,52.873714,166200
2018-07-13,53.799999,55.450001,53.560001,54.900002,53.954773,123900
2018-07-16,54.900002,55.000000,53.849998,54.049999,53.119404,159100
2018-07-17,54.000000,55.450001,54.000000,54.549999,53.610798,105500
2018-07-18,55.000000,56.150002,54.950001,55.750000,54.790134,126000
2018-07-19,55.549999,56.150002,54.900002,56.099998,55.134109,146000
2018-07-20,55.900002,56.400002,55.200001,55.500000,54.544441,91200
2018-07-23,55.250000,55.750000,54.750000,55.650002,54.691856,136300
2018-07-24,55.700001,56.150002,54.450001,54.950001,54.003914,379400
2018-07-25,54.950001,56.049999,54.849998,55.900002,54.937561,108100
2018-07-26,55.900002,57.849998,55.849998,57.549999,56.559147,191500
2018-07-27,59.349998,62.450001,58.500000,60.599998,59.556637,568500
2018-07-30,60.500000,61.000000,59.549999,59.700001,58.672131,169200
2018-07-31,60.000000,60.150002,59.529999,59.900002,58.868687,402300
2018-08-01,59.799999,60.250000,58.849998,59.799999,58.770409,224400
2018-08-02,59.450001,59.700001,59.150002,59.450001,58.426434,211900
2018-08-03,59.450001,59.950001,59.000000,59.299999,58.279018,186300
2018-08-06,59.349998,59.750000,59.250000,59.549999,58.524708,167100
2018-08-07,59.750000,60.950001,59.299999,60.599998,59.556637,214600
2018-08-08,60.650002,61.549999,60.500000,60.650002,59.605774,133300
2018-08-09,60.549999,60.849998,60.000000,60.200001,59.163528,114200
2018-08-10,59.950001,60.150002,59.080002,59.250000,58.229874,124000
2018-08-13,59.200001,59.900002,58.500000,59.000000,57.984180,124200
2018-08-14,59.250000,60.849998,59.200001,60.599998,59.556637,102600
2018-08-15,60.500000,61.150002,60.250000,60.650002,59.605774,119400
2018-08-16,61.000000,62.349998,60.700001,61.500000,60.441135,216100
2018-08-17,61.349998,61.650002,60.450001,61.099998,60.048019,95500
2018-08-20,61.599998,62.000000,59.799999,61.849998,60.785107,351000
2018-08-21,62.299999,65.330002,61.750000,64.250000,63.143791,447800
2018-08-22,64.150002,64.400002,63.099998,63.349998,62.259281,237300
2018-08-23,63.299999,63.700001,62.450001,62.700001,61.620476,124500
2018-08-24,62.650002,64.099998,62.299999,64.000000,62.898094,99100
2018-08-27,64.150002,64.699997,63.400002,63.450001,62.357563,147600
2018-08-28,63.500000,64.699997,63.500000,64.550003,63.438622,89500
2018-08-29,64.800003,65.800003,64.500000,64.800003,63.684322,183800
2018-08-30,64.800003,64.849998,64.050003,64.449997,63.340347,106000
2018-08-31,64.400002,65.449997,64.099998,65.300003,64.175720,126900
2018-09-04,65.400002,65.800003,64.949997,65.150002,64.028297,114800
2018-09-05,65.099998,65.300003,62.200001,62.500000,61.423920,289500
2018-09-06,62.299999,62.849998,61.150002,61.250000,60.195442,285000
2018-09-07,61.049999,62.049999,60.599998,60.950001,59.900612,185300
2018-09-10,61.000000,62.500000,60.750000,61.950001,60.883389,188500
2018-09-11,61.900002,62.500000,61.299999,62.000000,60.932533,123300
2018-09-12,61.950001,62.200001,60.000000,60.049999,59.016098,220200
2018-09-13,60.200001,61.700001,60.200001,61.500000,60.441135,130000
2018-09-14,60.950001,62.349998,60.400002,61.150002,60.097164,161000
2018-09-17,60.450001,61.299999,60.250000,60.400002,59.360077,290300
2018-09-18,60.500000,60.799999,59.500000,59.849998,58.819546,168400
2018-09-19,59.750000,60.500000,59.200001,59.400002,58.377296,242000
2018-09-20,59.750000,60.150002,58.849998,59.400002,58.377296,125900
2018-09-21,59.299999,59.650002,58.799999,58.849998,57.836765,643200
2018-09-24,58.849998,58.849998,56.750000,57.750000,56.755699,332200
2018-09-25,57.849998,57.849998,56.700001,57.099998,56.116894,332800
2018-09-26,57.099998,59.549999,57.049999,58.400002,57.394512,379700
2018-09-27,58.599998,60.049999,58.599998,59.150002,58.231312,200400
2018-09-28,59.000000,60.200001,58.500000,58.900002,57.985191,479700
2018-10-01,59.080002,59.080002,55.529999,56.320000,55.445263,333900
